graph_name,alg_name,time,number_of_colors
fence,ConnectedSequential,50549,2
fence,ConnectedSequential,50151,2
fence,ConnectedSequential,50622,2
fence,ConnectedSequential,50669,2
fence,ConnectedSequential,50660,2
fence,ConnectedSequential,50518,2
fence,ConnectedSequential,50435,2
fence,ConnectedSequential,51429,2
fence,ConnectedSequential,50782,2
fence,ConnectedSequential,50375,2
fence,ConnectedSequential,50169,2
fence,ConnectedSequential,50330,2
fence,ConnectedSequential,50403,2
fence,ConnectedSequential,50155,2
fence,ConnectedSequential,50044,2
fence,ConnectedSequential,57369,2
fence,ConnectedSequential,56763,2
fence,ConnectedSequential,50377,2
fence,ConnectedSequential,50850,2
fence,ConnectedSequential,53973,2
fence,ConnectedSequential,51504,2
fence,ConnectedSequential,51266,2
fence,ConnectedSequential,51494,2
fence,ConnectedSequential,53333,2
fence,ConnectedSequential,71218,2
fence,ConnectedSequential,52131,2
fence,ConnectedSequential,51256,2
fence,ConnectedSequential,50660,2
fence,ConnectedSequential,50606,2
fence,ConnectedSequential,51061,2
fence,ConnectedSequential,50591,2
fence,ConnectedSequential,50743,2
fence,ConnectedSequential,50943,2
fence,ConnectedSequential,50427,2
fence,ConnectedSequential,50541,2
fence,ConnectedSequential,50375,2
fence,ConnectedSequential,50241,2
fence,ConnectedSequential,50733,2
fence,ConnectedSequential,50830,2
fence,ConnectedSequential,50016,2
fence,ConnectedSequential,50258,2
fence,ConnectedSequential,51160,2
fence,ConnectedSequential,50612,2
fence,ConnectedSequential,50509,2
fence,ConnectedSequential,50921,2
fence,ConnectedSequential,49990,2
fence,ConnectedSequential,50688,2
fence,ConnectedSequential,50717,2
fence,ConnectedSequential,49872,2
fence,ConnectedSequential,50155,2
fence,ConnectedSequential,50163,2
fence,ConnectedSequential,50335,2
fence,ConnectedSequential,51092,2
fence,ConnectedSequential,51034,2
fence,ConnectedSequential,50172,2
fence,ConnectedSequential,50792,2
fence,ConnectedSequential,50832,2
fence,ConnectedSequential,57236,2
fence,ConnectedSequential,69016,2
fence,ConnectedSequential,57445,2
fence,ConnectedSequential,56653,2
fence,ConnectedSequential,57311,2
fence,ConnectedSequential,56807,2
fence,ConnectedSequential,60278,2
fence,ConnectedSequential,55311,2
